[03:48:10] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.14
[03:48:10] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.14
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[03:48:10] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/MarciGone/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.5+mixin.0.8.7/sponge-mixin-0.15.5+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[03:48:15] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:48:16] [main/INFO]: Loaded 7 recipes
[03:48:17] [main/INFO]: Loaded 1271 advancements
[03:48:17] [Server thread/INFO]: Starting minecraft server version 1.20.1
[03:48:17] [Server thread/INFO]: Loading properties
[03:48:17] [Server thread/INFO]: Default game type: SURVIVAL
[03:48:17] [Server thread/INFO]: Generating keypair
[03:48:17] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:48:17] [Server thread/INFO]: Using epoll channel type
[03:48:17] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[03:48:17] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[03:48:17] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[03:48:17] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[03:48:17] [Server thread/INFO]: Preparing level "world"
[03:48:23] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:48:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[03:48:25] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[03:48:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[03:48:26] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[03:48:26] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[03:48:27] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[03:48:27] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[03:48:28] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[03:48:28] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[03:48:29] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[03:48:29] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[03:48:30] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[03:48:30] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[03:48:31] [Worker-Main-1/INFO]: Preparing spawn area: 16%
[03:48:31] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[03:48:32] [Worker-Main-1/INFO]: Preparing spawn area: 19%
[03:48:32] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[03:48:33] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[03:48:33] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[03:48:34] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[03:48:34] [Worker-Main-3/INFO]: Preparing spawn area: 32%
[03:48:35] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[03:48:35] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[03:48:36] [Worker-Main-3/INFO]: Preparing spawn area: 40%
[03:48:36] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[03:48:37] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[03:48:37] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[03:48:38] [Worker-Main-2/INFO]: Preparing spawn area: 50%
[03:48:38] [Worker-Main-1/INFO]: Preparing spawn area: 53%
[03:48:39] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[03:48:39] [Worker-Main-3/INFO]: Preparing spawn area: 58%
[03:48:40] [Worker-Main-3/INFO]: Preparing spawn area: 61%
[03:48:40] [Worker-Main-1/INFO]: Preparing spawn area: 64%
[03:48:41] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[03:48:41] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[03:48:42] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[03:48:42] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[03:48:43] [Worker-Main-3/INFO]: Preparing spawn area: 79%
[03:48:43] [Worker-Main-3/INFO]: Preparing spawn area: 82%
[03:48:44] [Worker-Main-3/INFO]: Preparing spawn area: 84%
[03:48:44] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[03:48:45] [Worker-Main-3/INFO]: Preparing spawn area: 90%
[03:48:45] [Worker-Main-1/INFO]: Preparing spawn area: 94%
[03:48:46] [Worker-Main-3/INFO]: Preparing spawn area: 97%
[03:48:46] [Server thread/INFO]: Time elapsed: 22869 ms
[03:48:46] [Server thread/INFO]: Done (28.650s)! For help, type "help"
